# Первоубиенный и лучший ход исторических игр, снятые с mafiauniverse (сентябрь 2026).
# Импорт истории принёс только ник/место/роль/итог, а ПУ и ЛХ там есть — без них у легаси-игр
# не считались ЛХ, Ci, «точность ЛХ», ачивки и рекорды.
#
# Формат: источник|дата|номер игры в источнике|место ПУ|места ЛХ|бонус ЛХ у них|ники по местам 1..10
# Состав стола — главный ключ сопоставления: дата и номер игры у источника и у нас могли разойтись
# (855 залит одной датой, у ночных игр дата зависит от часового пояса), а состав по местам
# совпадает однозначно. Дата — как в списке игр mafiauniverse (по ней собирался импорт вечеров).
# Бонус пустой — ЛХ не принёс очков. Игры без первоубиенного сюда не попали.
#
# 855 — Сезон 2022/2023; 893 — Сезон 2023/2024; 1355 — Стол для обучения и отдыха 2023/2024;
# 3557 — Сезон 2024/2025.
3557|2025-04-21|144|8|5,7,1||Техноуж;Бант.;Неомения;Органик;НЕ_ЛИС;Вспышка;Soya;Ная;Вельзевул;Варвара
3557|2025-04-21|143|2|1,6,9||Варвара;Бант.;НЕ_ЛИС;Математик;Вспышка;Особа;Элизабет Арден;Техноуж;Soya;Органик
3557|2025-04-14|142|8|1,2,3||Сущность;Soya;WhiRav;Математик;Аляска;Бант.;Элизабет Арден;Улитка;НЕ_ЛИС;Варвара
3557|2025-04-14|141|3|4,5,1|0.25|Органик;Soya;Математик;Бант.;Деканат;НЕ_ЛИС;Аляска;Дед;Улитка;Элизабет Арден
3557|2025-04-14|139|3|2,4,9||Бант.;Математик;НЕ_ЛИС;Богомол;Чудо;Аляска;WhiRav;Soya;Дед;Варвара
3557|2025-04-14|138|8|4,5,7||Аляска;Lulu;Майонез;Ная;Улитка;WhiRav;Киви;Бант.;Чудо;Деканат
3557|2025-04-14|136|2|3,7,1||Дед;Soya;Ная;Математик;Lulu;Улитка;НЕ_ЛИС;Варвара;Элизабет Арден;Вспышка
3557|2025-04-14|135|8|1,2,5||Ная;Элизабет Арден;Аляска;Дед;Улитка;Лектер;Математик;Вспышка;Киви;Варвара
3557|2025-04-14|134|3|4,8,1||Деканат;Ная;Элизабет Арден;Soya;Дед;Аляска;Киви;Математик;Вспышка;Улитка
3557|2025-04-14|132|10|6,9,1|0.25|Варвара;Лектер;Аляска;Доджик;Буханка;Вспышка;Улитка;Lulu;Soya;Элизабет Арден
3557|2025-04-07|131|10|6,7,8||Варвара;Soya;НЕ_ЛИС;Ная;Математик;Аляска;Элизабет Арден;Деканат;Бант.;Lulu
3557|2025-04-07|129|7|4,5,8||Деканат;Аляска;Ная;Лектер;Улитка;Техноуж;Бант.;Хелхек;Киви;Labrusca
3557|2025-04-07|128|8|4,6,1||Лана;Улитка;Элизабет Арден;Ная;Вспышка;Киви;Аляска;Математик;Хелхек;Лектер
3557|2025-04-07|127|8|5,7,1|0.25|Лектер;Аляска;Улитка;Джереми25;Дед;НЕ_ЛИС;Доджик;Вспышка;Техноуж;Бант.
3557|2025-03-29|124|4|1,5,9|0.25|Буханка;Реактив;Soya;Бант.;Улитка;Ная;Дед;Вспышка;Варвара;НЕ_ЛИС
3557|2025-03-29|122|1|6,8,1|0.25|Водолаз;Техноуж;НЕ_ЛИС;Бант.;Вспышка;Варвара;Реактив;Элизабет Арден;Буханка;Дед
3557|2025-03-29|121|9|1,5,7||Ная;Зимушка;Киви;Дед;Вспышка;Техноуж;Бант.;НЕ_ЛИС;Деканат;Lulu
3557|2025-03-29|120|9|4,6,1||Техноуж;Ная;Зимушка;Вспышка;Киви;НЕ_ЛИС;Буханка;Улитка;Бант.;Lulu
